parameters,performance
('Layers: [4, 256, 16, 3], Learning rate: 0.0001220703125, Epochs: 6', 447.5356328216289)
('Layers: [4, 64, 128, 3], Learning rate: 0.00048828125, Epochs: 1', 447.3807006345753)
('Layers: [4, 32, 32, 3], Learning rate: 0.00048828125, Epochs: 2', 446.45342003716394)
('Layers: [4, 128, 1024, 3], Learning rate: 0.000244140625, Epochs: 2', 446.3461896490619)
('Layers: [4, 8, 512, 3], Learning rate: 0.00048828125, Epochs: 1', 446.2748670980619)
('Layers: [4, 16, 4, 3], Learning rate: 0.000244140625, Epochs: 2', 446.08238027430207)
('Layers: [4, 256, 256, 3], Learning rate: 0.0001220703125, Epochs: 4', 445.7631395833384)
('Layers: [4, 8, 16, 3], Learning rate: 0.0001220703125, Epochs: 1', 445.7503490177449)
('Layers: [4, 128, 16, 3], Learning rate: 0.00048828125, Epochs: 2', 445.70166855794764)
('Layers: [4, 2, 8, 3], Learning rate: 0.0001220703125, Epochs: 6', 445.6146724787987)
('Layers: [4, 128, 512, 3], Learning rate: 0.000244140625, Epochs: 2', 445.56502955590986)
('Layers: [4, 512, 1024, 3], Learning rate: 0.0001220703125, Epochs: 4', 445.5646398044168)
('Layers: [4, 64, 128, 3], Learning rate: 0.0001220703125, Epochs: 1', 444.9096910065175)
('Layers: [4, 2, 16, 3], Learning rate: 0.000244140625, Epochs: 3', 444.69340046636637)
('Layers: [4, 512, 1024, 3], Learning rate: 0.000244140625, Epochs: 1', 444.59918472763474)
('Layers: [4, 32, 1024, 3], Learning rate: 0.0001220703125, Epochs: 3', 444.53835928988025)
('Layers: [4, 64, 16, 3], Learning rate: 0.000244140625, Epochs: 3', 444.38760463664715)
('Layers: [4, 32, 512, 3], Learning rate: 0.000244140625, Epochs: 1', 444.2798457051514)
('Layers: [4, 4, 3, 3], Learning rate: 0.00048828125, Epochs: 2', 444.25698648986514)
('Layers: [4, 1024, 2, 3], Learning rate: 0.000244140625, Epochs: 4', 444.0661265342814)
('Layers: [4, 4, 2, 3], Learning rate: 0.0001220703125, Epochs: 3', 444.01366958396665)
('Layers: [4, 128, 256, 3], Learning rate: 0.0001220703125, Epochs: 7', 443.7514516339788)
('Layers: [4, 1024, 256, 3], Learning rate: 0.000244140625, Epochs: 1', 443.5939738736142)
('Layers: [4, 8, 3, 3], Learning rate: 0.000244140625, Epochs: 2', 443.4894904899835)
('Layers: [4, 2, 128, 3], Learning rate: 0.000244140625, Epochs: 2', 443.3609603293678)
('Layers: [4, 8, 512, 3], Learning rate: 0.0001220703125, Epochs: 1', 443.29598912407727)
('Layers: [4, 128, 64, 3], Learning rate: 0.0001220703125, Epochs: 3', 443.1539981976082)
('Layers: [4, 32, 16, 3], Learning rate: 0.000244140625, Epochs: 1', 442.9566007550092)
('Layers: [4, 16, 8, 3], Learning rate: 0.000244140625, Epochs: 1', 442.19282440074136)
('Layers: [4, 4, 8, 3], Learning rate: 0.0009765625, Epochs: 1', 441.63429957041615)
('Layers: [4, 8, 16, 3], Learning rate: 0.0001220703125, Epochs: 3', 441.633108255426)
('Layers: [4, 8, 128, 3], Learning rate: 0.0001220703125, Epochs: 4', 441.26946406884196)
('Layers: [4, 128, 64, 3], Learning rate: 0.0001220703125, Epochs: 8', 441.1953654221823)
('Layers: [4, 64, 3], Learning rate: 0.000244140625, Epochs: 1', 440.9765754950421)
('Layers: [4, 8, 16, 3], Learning rate: 0.0001220703125, Epochs: 2', 440.8526888041073)
('Layers: [4, 1024, 16, 3], Learning rate: 0.0001220703125, Epochs: 14', 439.6569130723723)
('Layers: [4, 4, 1024, 3], Learning rate: 0.000244140625, Epochs: 2', 439.29515120423065)
('Layers: [4, 2, 64, 3], Learning rate: 0.0001220703125, Epochs: 1', 439.2263500446805)
('Layers: [4, 16, 512, 3], Learning rate: 0.0001220703125, Epochs: 1', 438.73527887684895)
('Layers: [4, 16, 3, 3], Learning rate: 0.000244140625, Epochs: 1', 438.60480504246493)
('Layers: [4, 8, 3], Learning rate: 0.0001220703125, Epochs: 2', 437.6143101774034)
('Layers: [4, 64, 32, 3], Learning rate: 0.0009765625, Epochs: 1', 437.5426484159298)
('Layers: [4, 128, 2, 3], Learning rate: 0.0001220703125, Epochs: 4', 437.5158499753952)
('Layers: [4, 4, 16, 3], Learning rate: 0.0001220703125, Epochs: 6', 437.0015140331688)
('Layers: [4, 2, 8, 3], Learning rate: 0.000244140625, Epochs: 3', 436.77535983861696)
('Layers: [4, 8, 3, 3], Learning rate: 0.0009765625, Epochs: 1', 436.66350280853925)
('Layers: [4, 128, 1024, 3], Learning rate: 0.0001220703125, Epochs: 4', 436.58060958350154)
('Layers: [4, 2, 8, 3], Learning rate: 0.0001220703125, Epochs: 4', 436.54319044250633)
('Layers: [4, 256, 128, 3], Learning rate: 0.0001220703125, Epochs: 9', 436.4282008631254)
('Layers: [4, 64, 2, 3], Learning rate: 0.0001220703125, Epochs: 4', 436.4017167834805)
('Layers: [4, 512, 1024, 3], Learning rate: 0.0001220703125, Epochs: 3', 436.3605505194541)
('Layers: [4, 2, 128, 3], Learning rate: 0.0001220703125, Epochs: 3', 435.8488752895877)
('Layers: [4, 4, 16, 3], Learning rate: 0.0001220703125, Epochs: 3', 435.63216256787285)
('Layers: [4, 64, 1024, 3], Learning rate: 0.000244140625, Epochs: 3', 435.5806143748122)
('Layers: [4, 16, 1024, 3], Learning rate: 0.0009765625, Epochs: 1', 435.40667621082196)
('Layers: [4, 1024, 8, 3], Learning rate: 0.0001220703125, Epochs: 2', 435.34821416401763)
