parameters,performance
('Layers: [8, 8, 5], Learning rate: 0.000244140625, Epochs: 7', 232.518059276325)
('Layers: [8, 64, 5], Learning rate: 0.00048828125, Epochs: 5', 231.5814467535772)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 15', 231.1313803463855)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 8', 230.36347662092325)
('Layers: [8, 16, 5], Learning rate: 0.00048828125, Epochs: 1', 229.95706900004)
('Layers: [8, 256, 5], Learning rate: 0.0009765625, Epochs: 2', 229.78016612255476)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 20', 229.3409765062219)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 12', 229.2971708842284)
('Layers: [8, 512, 5], Learning rate: 0.000244140625, Epochs: 4', 229.06858663237867)
('Layers: [8, 16, 5], Learning rate: 0.000244140625, Epochs: 5', 228.96162522727036)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 16', 226.73195436732087)
('Layers: [8, 64, 5], Learning rate: 0.000244140625, Epochs: 9', 226.14533602231643)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 8', 225.6348428410517)
('Layers: [8, 256, 5], Learning rate: 0.000244140625, Epochs: 11', 225.31185574874408)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 19', 224.9487809482389)
('Layers: [8, 512, 5], Learning rate: 0.00048828125, Epochs: 4', 224.71124589896394)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 16', 224.65911701568544)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 10', 223.24257429996024)
('Layers: [8, 8, 5], Learning rate: 0.000244140625, Epochs: 8', 222.29338499437947)
('Layers: [8, 128, 5], Learning rate: 0.00048828125, Epochs: 5', 221.43570709759993)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 12', 220.62737257810818)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 18', 219.3184499297157)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 8', 219.255647178216)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 19', 219.17448045867758)
('Layers: [8, 8, 5], Learning rate: 0.00048828125, Epochs: 1', 219.1719427582909)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 11', 218.31230038196816)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 7', 216.99550805256587)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 11', 216.96714635154103)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 12', 216.78953653543672)
('Layers: [8, 128, 5], Learning rate: 0.00048828125, Epochs: 4', 216.30301248572064)
('Layers: [8, 64, 5], Learning rate: 0.000244140625, Epochs: 11', 215.64531336438117)
('Layers: [8, 4, 5], Learning rate: 0.00048828125, Epochs: 2', 214.59564547518326)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 19', 214.4937046763241)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 11', 212.6337774384056)
('Layers: [8, 4, 5], Learning rate: 0.00048828125, Epochs: 3', 212.17366465188627)
('Layers: [8, 8, 5], Learning rate: 0.000244140625, Epochs: 2', 211.21159343887558)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 20', 210.5419337860886)
('Layers: [8, 2, 5], Learning rate: 0.000244140625, Epochs: 12', 210.04096786684153)
('Layers: [8, 1024, 5], Learning rate: 0.000244140625, Epochs: 5', 209.8865412127324)
('Layers: [8, 512, 5], Learning rate: 0.0009765625, Epochs: 1', 209.12412024756)
('Layers: [8, 256, 5], Learning rate: 0.0009765625, Epochs: 3', 208.60906356298173)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 13', 208.28154117870014)
('Layers: [8, 128, 5], Learning rate: 0.000244140625, Epochs: 7', 208.20803999790354)
('Layers: [8, 4, 5], Learning rate: 0.001953125, Epochs: 1', 207.78685073484158)
('Layers: [8, 64, 5], Learning rate: 0.000244140625, Epochs: 8', 207.4385630762886)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 10', 207.27792366227752)
('Layers: [8, 32, 5], Learning rate: 0.00048828125, Epochs: 3', 207.14929487253832)
('Layers: [8, 256, 5], Learning rate: 0.001953125, Epochs: 1', 206.238934395837)
('Layers: [8, 256, 5], Learning rate: 0.000244140625, Epochs: 10', 206.20204848801592)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 6', 205.97942929118963)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 17', 203.94056371409707)
('Layers: [8, 2, 5], Learning rate: 0.001953125, Epochs: 1', 203.66951713675533)
('Layers: [8, 2, 5], Learning rate: 0.00048828125, Epochs: 5', 203.57061998060553)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 16', 203.30411189640503)
('Layers: [8, 128, 5], Learning rate: 0.001953125, Epochs: 1', 203.2715977875856)
('Layers: [8, 4, 5], Learning rate: 0.000244140625, Epochs: 9', 203.23546195929669)
('Layers: [8, 1024, 5], Learning rate: 0.00048828125, Epochs: 5', 202.3614231405046)
('Layers: [8, 16, 5], Learning rate: 0.0009765625, Epochs: 2', 202.31375461513835)
('Layers: [8, 2, 5], Learning rate: 0.000244140625, Epochs: 4', 201.73929195696735)
('Layers: [8, 1024, 5], Learning rate: 0.00048828125, Epochs: 7', 201.53855002141418)
('Layers: [8, 256, 5], Learning rate: 0.00048828125, Epochs: 5', 201.45050328989151)
('Layers: [8, 4, 5], Learning rate: 0.0009765625, Epochs: 2', 200.96952475370773)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 14', 200.73590787429598)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 12', 199.06949460869586)
